,details
10,"{'Location': '490 Old Taluk Cutchery Road Ganigarpet, #490 OTC road NEAR THAVAKKAL MASTHHAN DARGA, 560053 Bangalore, India –, Bangalore City Center, Bangalore, India, 560002', 'overall_rating': '8.3', 'Name': 'SS Crown Inn', 'reviews': [{'Review_Rating': '10.0', 'Review_Heading': 'Great hotel. Clean room. Very nice and comfortable stay”', 'Review_Body': 'Great room. Stayed for 2 days. Very new and clean room. '}, {'Review_Rating': '10.0', 'Review_Heading': 'One of the best stays in Bangalore ”', 'Review_Body': 'Nice rooms with a tiny balcony, \nClean and neat rooms and washrooms\nA bit small room, but ok for the price'}], 'price': '1,395', 'img_link': 'https://q-xx.bstatic.com/xdata/images/hotel/840x460/333077146.jpg?k=2c5e70db70535bc369ab30f2f7cc777f887057dbc9eee782ae2ca7e45dc088e8&o=', 'room_size': '23m²', 'amenities': ['Outdoor view', 'Balcony/terrace', 'Shower', 'Free Wi-Fi', 'Toiletries', 'Towels', 'Free Wi-Fi in all rooms!', 'Satellite/cable channels', 'Telephone', 'Fan', 'Linens', 'Mosquito net', 'Slippers', 'Desk', 'Interconnecting room(s) available', 'Seating area', 'Separate dining area', 'Closet', 'Clothes rack'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/ss-crown-inn/hotel/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=ce50a25e-9b0a-4a21-8024-02d485d62919'}"
11,"{'Location': 'DasarahalliBangaloreKarnatakaIndia560092, Devanahalli, Bangalore, India, 560092', 'overall_rating': 'Select your room', 'Name': 'Collection O 701570 Royal Elevar', 'reviews': [{'Review_Rating': '2.0', 'Review_Heading': 'Reserved but not showing at hotel records”', 'Review_Body': 'The room is not reserved at the hotel, although it is booked and paid in Agoda website.'}, {'Review_Rating': '2.0', 'Review_Heading': 'Worst experience.”', 'Review_Body': 'Never chose this hotel. Completely nightmare.'}], 'price': '1,026', 'img_link': 'https://pix8.agoda.net/hotelImages/35695647/-1/2b7c3b4ffafa64b88cdbf2885dfe018f.jpg?ce=0&s=1024x768', 'room_size': '0', 'amenities': ['Free Wi-Fi', 'Free Wi-Fi in all rooms!', 'TV', 'Air conditioning'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/collection-o-701570-royal-elevar/hotel/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=ce50a25e-9b0a-4a21-8024-02d485d62919'}"
12,"{'Location': '3701\\2, Nh75, Kempegowda Circle, Kunigal Bypass, Tumkur Road, Nelamangala, Bangalore, Nelamangala, Bangalore, India, 562123', 'overall_rating': '4.4', 'Name': 'SPOT ON Woodland Lodge', 'reviews': [{'Review_Rating': '9.2', 'Review_Heading': 'Cheap hotel”', 'Review_Body': 'if you get the right room, this is a cheap, well located lodge.'}, {'Review_Rating': '2.0', 'Review_Heading': '예약 거부”', 'Review_Body': '1. 예약하고 금액을 지불하였지만 방이 없다고 숙박거절.\n2. 계속 숙박에 대해 이야기 하였더니 숙박이 가능해졌지만 추가요금 요구.\n3. 내가 예약한 날짜보다 더 빠른 날짜에 체크아웃을 강요.\n4. 결국 숙박하지 않고 나왔음.\n\n숙박을 위해서 버스로 2시간 30분을 이동하였는데 결국 예약을 거절당하여 다시 2시간 30분을 돌아 왔습니다.\n이곳의 예약 시스템은 분명히 상당한 문제가 있다고 생각이 드는군요.'}], 'price': '479', 'img_link': 'https://pix8.agoda.net/hotelImages/10300141/-1/042885402d37eca839eabb34cc390a41.jpg?ca=9&ce=1&s=1024x768', 'room_size': '16m²', 'amenities': ['Non-smoking', 'Shower', 'Free Wi-Fi', 'Bathrobes', 'Mirror', 'Toiletries', 'Towels', 'Free Wi-Fi in all rooms!', 'Satellite/cable channels', 'Telephone', 'Blackout curtains', 'Fan', 'Linens', 'Free bottled water', 'Desk', 'Fireplace', 'Seating area', 'Closet', 'Fire extinguisher', 'First aid kit', 'Individual air conditioning', 'Smoke detector'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/spot-on-61410-woodland-lodge-spot/hotel/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=ce50a25e-9b0a-4a21-8024-02d485d62919'}"
13,"{'Location': 'No 40, Kadiganahalli Main Road , 1st cross, Chikkajala, Devanahalli, Bangalore, India, 562157', 'overall_rating': 'Select your room', 'Name': 'Sa Vista Inn', 'reviews': [{'Review_Rating': '10.0', 'Review_Heading': 'Super room”', 'Review_Body': 'Best'}, {'Review_Rating': '8.0', 'Review_Heading': 'Ok”', 'Review_Body': ""1. Hotel should have basic amenities like soap,shampoo..etc\n2. Bathroom has bodywash dispenser,but it was empty\n3.Water heater was not there.\n4.Staffs were dealing first'time with clients ,i guess\n5. Manager was helpful \n6. Unlimited Wifi was available\n\nOverall Stay was good, building is new, neat and Clean\n""}], 'price': '1,346', 'img_link': 'https://q-xx.bstatic.com/xdata/images/hotel/840x460/416072702.jpg?k=afa77d5848acaffd498e1e1a17e204c938ac9519abb10ce8475e1f585e2079c3&o=', 'room_size': '17m²', 'amenities': ['Shower', 'Free Wi-Fi', 'Toiletries', 'Towels', 'Free Wi-Fi in all rooms!', 'Telephone', 'TV [flat screen]', 'Air conditioning', 'Fan', 'Hand sanitizer', 'Free bottled water', 'Seating area', 'Trash cans', 'Closet', 'Clothes rack', 'Fire extinguisher'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/sa-vista-inn/hotel/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=ce50a25e-9b0a-4a21-8024-02d485d62919'}"
14,"{'Location': '31, 12th Main Rd, Keb Colony, Madiwala, 1st Stage, B T M Layout 1, Bangalore, Gottigere, Bangalore, India, 560029', 'overall_rating': '4.5', 'Name': 'OYO Varcity Emerald Near Ragigudda Sri Prasanna Anjaneyaswamy Temple', 'reviews': [{'Review_Rating': '2.0', 'Review_Heading': 'Poor response from staff”', 'Review_Body': ""Horrible experience, poorly maintained room, most facilities promised weren't available \n""}, {'Review_Rating': '4.0', 'Review_Heading': 'Acceptable”', 'Review_Body': 'The Staffs are rude '}, {'Review_Rating': '5.6', 'Review_Heading': 'Ok for cheap alternative”', 'Review_Body': 'Can be a lot better, but for cheaper alternative this is Ok'}, {'Review_Rating': '4.8', 'Review_Heading': 'Its OK for the money”', 'Review_Body': 'If u want to have cheap hotel with bare minimum things with not a lot of comfort but to just sleep for some hours and get ready to go outside for work - then its a good place.'}, {'Review_Rating': '2.0', 'Review_Heading': 'Worst hotel”', 'Review_Body': ""Cleanliness is zero. Tv is not working and no water heater. Bed and pillows are so dirty. Don't book room here else you'll be suffering with diseases. A big no to this hotel ""}, {'Review_Rating': '2.0', 'Review_Heading': 'Acceptable”', 'Review_Body': 'After the booking from the Agoda website the hotel manager charged me 350 extra for check in.'}, {'Review_Rating': '2.0', 'Review_Heading': 'Acceptable”', 'Review_Body': 'Best Oyo ever'}, {'Review_Rating': '2.8', 'Review_Heading': 'The worst room”', 'Review_Body': ""Wow,This was an experience for me.The rooms were so bad I couldn't stay in the room.Spend a little more money and get a good room and don't go there before your check in time otherwise you will have nowhere to stay even if the rooms are available.\nThe beds were actually had hairs .""}, {'Review_Rating': '2.4', 'Review_Heading': 'Very worst. ”', 'Review_Body': 'No cleanness, No water, dirty washroom, No room service, no intercom, bad behavior and many more. '}, {'Review_Rating': '2.4', 'Review_Heading': 'Worst room condition,”', 'Review_Body': 'Dirty sheets, pillow and torn bed spread. Untidy room with lot dampness and paint falling away. I could see cockroaches in the room and bed condition was very bad.\nThe spring bed is so worn out that i could feel the spring, worst Oyo i had stayed so far just that it is cheap even the services they provide is very cheap and bad.\nWould suggest Oyo officials to look into it and make sure it improves otherwise owners like these would ruin the name of Oyo.'}, {'Review_Rating': '8.8', 'Review_Heading': 'Fresh and fair review.”', 'Review_Body': ""I got this room only for 350 rupees in Agoda app. First of all I would like to really thankful them. \nThe hotel staff and check-in and check-out was very simple. Very friendly staff. \nFood also very good. Everything was great. But only cleanliness was bad. I would give 3 start out of 5. Location also. Present there is no any famous restaurants or places nead to this. At least 2kms distance will be there. But but but, the metro station was under construction, it's just 200 meters away from room. Remaining all perfect.""}, {'Review_Rating': '2.0', 'Review_Heading': 'Worst stay”', 'Review_Body': ""They don't know what hygine is\nPlease avoid""}, {'Review_Rating': '6.8', 'Review_Heading': 'Beware of check-in timings”', 'Review_Body': 'Even I specified my arrival timing is between 7AM-8AM, they did not allowed me to check-in at that time as OYO check-in timing starts at 12PM. So they took early check-in charges'}, {'Review_Rating': '10.0', 'Review_Heading': 'Exceptional”', 'Review_Body': 'Good'}, {'Review_Rating': '3.2', 'Review_Heading': 'Na”', 'Review_Body': 'Na'}], 'price': '710', 'img_link': 'https://q-xx.bstatic.com/xdata/images/hotel/840x460/272820322.jpg?k=82ee932c076139e94ea6c420c6ffc7cb7c043e19ab48ab6ee9c10d83290338f6&o=', 'room_size': '0', 'amenities': ['Shower', 'Kitchenette', 'Free Wi-Fi', 'Toiletries', 'Free Wi-Fi in all rooms!', 'Satellite/cable channels', 'Telephone', 'Air conditioning', 'Fan', 'Full kitchen', 'Trash cans', 'Closet'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/oyo-10522-varcity-emerald/hotel/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&tspTypes=3,-1&los=1&searchrequestid=ce50a25e-9b0a-4a21-8024-02d485d62919'}"
15,"{'Location': '140 Cottonpet Main Road Bakshi Gardens, MK GRANDE , Bangalore City Center, Bangalore, India, 560053', 'overall_rating': '7.3', 'Name': 'Mk Grande  Hotel', 'reviews': [{'Review_Rating': '8.8', 'Review_Heading': 'Ok for 1000”', 'Review_Body': 'Ac room worth 1000 ok to stay'}, {'Review_Rating': '4.8', 'Review_Heading': 'Recommended for a night Stay”', 'Review_Body': 'If you are looking for a night stay, this is ok at its cost. '}], 'price': '1,032', 'img_link': 'https://pix8.agoda.net/hotelImages/34278056/565615977/9b4e7a3a66085d4ebcefd2696d8ffe9c.jpg?ce=0&s=1024x768', 'room_size': '36m²', 'amenities': ['21 bathrooms'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/mk-grande-hotel/hotel/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&tspTypes=-1&los=1&searchrequestid=ce50a25e-9b0a-4a21-8024-02d485d62919'}"
16,"{'Location': '218, No.715, 2nd Cross Rd, HRBR Layout 1st Block, HRBR Layout, Kalyan Nagar, Bengaluru, HBR Layout, Bangalore, India, 560043', 'overall_rating': 'Select your room', 'Name': 'OYO Townhouse 254 HRBR-Kalyannagar', 'reviews': [{'Review_Rating': '3.6', 'Review_Heading': 'Poor service and rude staff”', 'Review_Body': ""I had booked it for 2 days, for my dad. Room allotted was dirty and the staff was rude. Initially they mentioned no rooms available despite telling I had a booking. TV wasn't working. No water was provided. A glass was requested and even that was not provided. Extremely ill mannered staff.""}, {'Review_Rating': '2.0', 'Review_Heading': 'The property is non-operational ”', 'Review_Body': 'There is no property as such. Had to learn it hard way after reaching the location. I didn’t get any message other than booking confirmation. I wonder why they take booking on a property that is not operational. '}, {'Review_Rating': '3.2', 'Review_Heading': 'Pathetic place ”', 'Review_Body': 'Will be attaching the images that might help you come to the decision if you wanna book this place'}], 'price': '1,540', 'img_link': 'https://q-xx.bstatic.com/xdata/images/hotel/840x460/393814292.jpg?k=23eb06ecd8d96624a44f20c332c48e80bf932a0c493b20aadd0b7aad8dd2ba51&o=', 'room_size': '13m²', 'amenities': ['Shower', 'Free Wi-Fi', 'Toiletries', 'Free Wi-Fi in all rooms!', 'TV', 'Air conditioning', 'Fan', 'Trash cans', 'Closet'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/oyo-193-townhouse-saai-kalyan/hotel/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=ce50a25e-9b0a-4a21-8024-02d485d62919'}"
17,"{'Location': '1, 21, Old Madiwala, Madiwala, 1st Stage, B T M Layout, Bangalore, Kormangala, Bangalore, India, 560068', 'overall_rating': '7.3', 'Name': 'Flagship Varcity Phi Pavilion Near Ragigudda Sri Prasanna Anjaneyaswamy Temple', 'reviews': [{'Review_Rating': '2.4', 'Review_Heading': 'Acceptable”', 'Review_Body': ""No hot water,fithy smelly rooms n toilet ceiling missing. Don't stay here everyone. U will regret.""}, {'Review_Rating': '8.0', 'Review_Heading': 'Perfect ”', 'Review_Body': 'One of the best property '}, {'Review_Rating': '9.6', 'Review_Heading': 'Nice stay 👌”', 'Review_Body': 'On the road...Walkable from bus stop...Main place to navigate... Near Temple..awesome stay'}], 'price': '927', 'img_link': 'https://q-xx.bstatic.com/xdata/images/hotel/840x460/363316127.jpg?k=01f39d2700f086bcfa64b6e5edacbacd91f288f52f92cdf40ce3d4a66568af46&o=', 'room_size': '0', 'amenities': ['Balcony/terrace', 'Kitchenette', 'Free Wi-Fi', 'Hair dryer', 'Toiletries', 'Whirlpool bathtub', 'Free Wi-Fi in all rooms!', 'Telephone', 'TV', 'Air conditioning', 'Fan', 'Heating', 'Coffee/tea maker', 'Dishwasher', 'Full kitchen', 'Mini bar', 'Refrigerator', 'Desk', 'Interconnecting room(s) available', 'Seating area', 'Closet', 'Ironing facilities', 'Washing machine', 'In-room safe box', 'Smoke detector'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/oyo-14397-varcity-phi-pavilion/hotel/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=ce50a25e-9b0a-4a21-8024-02d485d62919'}"
18,"{'Location': '48# 14th main 13th cross, road, near Lakkasandra extention, opp. Nimhans Hospital, Wilson Garden,, Kormangala, Bangalore, India, 560030', 'overall_rating': '4.6', 'Name': 'The Hotel Royal Star', 'reviews': [{'Review_Rating': '4.4', 'Review_Heading': 'Poor service”', 'Review_Body': 'I have stayed for 5 days , I asked several times for room service for cleaning , they said person is on leave , bed spreads are un hygienic, feel itching , toilets are not clean. At night we can’t sleep so much of sound coming from out side and we can’t find what sound is that , feels very disturbed , it was a very poor service from the hotel side'}, {'Review_Rating': '2.0', 'Review_Heading': 'Scammers”', 'Review_Body': 'I tried to check in but they said they did not have my booking even though it was already paid. Then they tried to steal my phone by taking it to another room upstairs. Why do you have to take my phone upstairs? I had to fight and wait 20 minutes to get it back. Then another 2 hours calling customer support. I never got my money. The worst hotel!'}, {'Review_Rating': '4.0', 'Review_Heading': 'No cleaning everyday ”', 'Review_Body': 'No cleaning everyday\nNo bedsheets changing everyday\nI have stayed there for 7 days and they changed only twice upon my multiple requests.\nSaw cockroaches inside\nWashroom is not at all clean, it also cleaned twice in my entire stay\nOne good thing is staff behaviour, but not active people at all.'}, {'Review_Rating': '8.8', 'Review_Heading': 'Price of the hotel”', 'Review_Body': 'Room price of the hotel is budget friendly. Rooms are clean and good. Bed are good and soft. Cupboard is good. Family friendly. Bathroom is clean and spacious. Basin taps should change.'}, {'Review_Rating': '2.0', 'Review_Heading': 'THIRD CLASS”', 'Review_Body': 'WE HAD AIRPORT TRANSFER AND LATE CHECK OUT OPTION IN OUR BOOKING, BUT THEY DENIED.. VERY RUDE BEHAVIOR.. PERSON AT RECEPTION WAS FULLY DRUNK.. '}], 'price': '1,598', 'img_link': 'https://pix8.agoda.net/hotelImages/35865418/-1/fd5f255001289033971424c6f4494120.jpg?ce=0&s=1024x768', 'room_size': '100m²', 'amenities': ['City view', 'Shower', 'Free Wi-Fi', 'Accessible toilet', 'Cleaning products', 'Mirror', 'Open air bath privileges', 'Toiletries', 'Towels', 'Walk-in shower', 'Free Wi-Fi in all rooms!'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/hotel-royal-star-h30955546/hotel/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&tspTypes=-1&los=1&searchrequestid=ce50a25e-9b0a-4a21-8024-02d485d62919'}"
19,"{'Location': '140 Cottonpet Main Road Bakshi Gardens, MK GRANDE , Bangalore City Center, Bangalore, India, 560053', 'overall_rating': '7.3', 'Name': 'Mk Grande  Hotel', 'reviews': [{'Review_Rating': '8.8', 'Review_Heading': 'Ok for 1000”', 'Review_Body': 'Ac room worth 1000 ok to stay'}, {'Review_Rating': '4.8', 'Review_Heading': 'Recommended for a night Stay”', 'Review_Body': 'If you are looking for a night stay, this is ok at its cost. '}], 'price': '1,032', 'img_link': 'https://pix8.agoda.net/hotelImages/34278056/565615977/9b4e7a3a66085d4ebcefd2696d8ffe9c.jpg?ce=0&s=1024x768', 'room_size': '36m²', 'amenities': ['21 bathrooms'], 'city': 'Bangalore', 'link': 'https://agoda.com/en-gb/mk-grande-hotel/hotel/bangalore-in.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-03-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=INR&isFreeOccSearch=false&isCityHaveAsq=false&tspTypes=-1&los=1&searchrequestid=a82dec20-1ee7-487a-b19d-6211878a3664'}"
